18:44:35  |  Core  |  Info  |  Load ini file 'MyGUI_Fonts.xml'  |  D:\Work\Source\MyGUI\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  114
18:44:35  |  Core  |  Info  |  ResourceTrueTypeFont: Font 'DejaVuSansFont_15' using texture size 128 x 256.  |  D:\Work\Source\MyGUI\MyGUIEngine\src\MyGUI_ResourceTrueTypeFont.cpp  |  787
18:44:35  |  Core  |  Info  |  ResourceTrueTypeFont: Font 'DejaVuSansFont_15' using real height 15 pixels.  |  D:\Work\Source\MyGUI\MyGUIEngine\src\MyGUI_ResourceTrueTypeFont.cpp  |  788
18:44:35  |  Core  |  Info  |  Load ini file 'MyGUI_CommonSkins.xml'  |  D:\Work\Source\MyGUI\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  114
18:44:35  |  Core  |  Info  |  Register value : 'HCenter' = 0  |  d:\work\source\mygui\myguiengine\include\MyGUI_Align.h  |  228
18:44:35  |  Core  |  Info  |  Register value : 'VCenter' = 0  |  d:\work\source\mygui\myguiengine\include\MyGUI_Align.h  |  229
18:44:35  |  Core  |  Info  |  Register value : 'Center' = 0  |  d:\work\source\mygui\myguiengine\include\MyGUI_Align.h  |  230
18:44:35  |  Core  |  Info  |  Register value : 'Left' = 2  |  d:\work\source\mygui\myguiengine\include\MyGUI_Align.h  |  231
18:44:35  |  Core  |  Info  |  Register value : 'Right' = 4  |  d:\work\source\mygui\myguiengine\include\MyGUI_Align.h  |  232
18:44:35  |  Core  |  Info  |  Register value : 'HStretch' = 6  |  d:\work\source\mygui\myguiengine\include\MyGUI_Align.h  |  233
18:44:35  |  Core  |  Info  |  Register value : 'Top' = 8  |  d:\work\source\mygui\myguiengine\include\MyGUI_Align.h  |  234
18:44:35  |  Core  |  Info  |  Register value : 'Bottom' = 16  |  d:\work\source\mygui\myguiengine\include\MyGUI_Align.h  |  235
18:44:35  |  Core  |  Info  |  Register value : 'VStretch' = 24  |  d:\work\source\mygui\myguiengine\include\MyGUI_Align.h  |  236
18:44:35  |  Core  |  Info  |  Register value : 'Stretch' = 30  |  d:\work\source\mygui\myguiengine\include\MyGUI_Align.h  |  237
18:44:35  |  Core  |  Info  |  Register value : 'Default' = 10  |  d:\work\source\mygui\myguiengine\include\MyGUI_Align.h  |  238
18:44:35  |  Core  |  Info  |  Load ini file 'MyGUI_BlueWhiteTheme.xml'  |  D:\Work\Source\MyGUI\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  114
18:44:35  |  Core  |  Info  |  Load ini file 'MyGUI_BlueWhiteImages.xml'  |  D:\Work\Source\MyGUI\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  114
18:44:35  |  Core  |  Info  |  Load ini file 'MyGUI_BlueWhiteSkins.xml'  |  D:\Work\Source\MyGUI\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  114
18:44:36  |  Core  |  Info  |  Load ini file 'MyGUI_BlueWhiteTemplates.xml'  |  D:\Work\Source\MyGUI\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  114
18:44:36  |  Core  |  Info  |  Load ini file 'MyGUI_PointerImages.xml'  |  D:\Work\Source\MyGUI\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  114
18:44:36  |  Core  |  Info  |  Load ini file 'MyGUI_Pointers.xml'  |  D:\Work\Source\MyGUI\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  114
18:44:36  |  Core  |  Info  |  Load ini file 'MyGUI_Layers.xml'  |  D:\Work\Source\MyGUI\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  114
18:44:36  |  Core  |  Info  |  Load ini file 'MyGUI_Settings.xml'  |  D:\Work\Source\MyGUI\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  114
18:44:36  |  Core  |  Info  |  Gui successfully initialized  |  D:\Work\Source\MyGUI\MyGUIEngine\src\MyGUI_Gui.cpp  |  111
18:44:36  |  Core  |  Warning  |  Texture 'PSF.png' have non power of two size  |  D:\Work\Source\MyGUI\MyGUIEngine\src\MyGUI_TextureUtility.cpp  |  62
